full_task_name,GroNLP/hateBERT,ProsusAI/finbert,albert-base-v2,bert-base-multilingual-uncased,bert-base-uncased,bert-large-uncased,bert-large-uncased-whole-word-masking-finetuned-squad,cardiffnlp/twitter-roberta-base-sentiment-latest,deepset/roberta-base-squad2,distilbert-base-uncased,distilbert-base-uncased-distilled-squad,distilbert-base-uncased-finetuned-sst-2-english,distilroberta-base,emilyalsentzer/Bio_ClinicalBERT,j-hartmann/emotion-english-distilroberta-base,microsoft/deberta-base,nlptown/bert-base-multilingual-uncased-sentiment,roberta-base,xlm-roberta-base,zhayunduo/roberta-base-stocktwits-finetuned
cardiffnlp/tweet_eval (offensive),0.8441860465,0.8406976744,0.8418604651,0.823255814,0.8430232558,0.7209302326,0.8418604651,0.8511627907,0.8523255814,0.8360465116,0.8279069767,0.8081395349,0.8453488372,0.8255813953,0.8337209302,0.8395348837,0.811627907,0.8360465116,0.8465116279,0.7930232558
cardiffnlp/tweet_eval (sentiment),0.691,0.6856,0.6574,0.606,0.6606,0.6738,0.6448,0.7272,0.6816,0.6794,0.672,0.6798,0.6594,0.6056,0.6914,0.6434,0.6416,0.6718,0.6624,0.6866
ccdv/patent-classification (abstract),0.5922,0.6162,0.5916,0.6082,0.6302,0.6392,0.6438,0.607,0.6218,0.6182,0.5938,0.6264,0.6132,0.591,0.6122,0.6214,0.5916,0.6306,0.5884,0.5764
climatebert/climate_commitments_actions,0.8,0.8,0.784375,0.8125,0.809375,0.790625,0.796875,0.790625,0.7625,0.76875,0.80625,0.76875,0.821875,0.778125,0.8375,0.796875,0.778125,0.775,0.825,0.815625
climatebert/climate_detection,0.9425,0.9575,0.95,0.945,0.97,0.95,0.9525,0.9575,0.9475,0.9525,0.9525,0.9575,0.9725,0.9375,0.9675,0.9775,0.945,0.975,0.975,0.97
climatebert/climate_specificity,0.803125,0.790625,0.8125,0.796875,0.815625,0.790625,0.815625,0.7875,0.7875,0.8,0.80625,0.771875,0.8125,0.796875,0.790625,0.759375,0.803125,0.834375,0.778125,0.76875
climatebert/tcfd_recommendations,0.7325,0.725,0.7175,0.765,0.76,0.745,0.7775,0.74,0.7375,0.7675,0.74,0.74,0.7425,0.705,0.755,0.775,0.6975,0.79,0.7775,0.7275
clinc/clinc_oos (plus),0.8404,0.844,0.8098,0.8154,0.8388,0.8608,0.8634,0.8696,0.8622,0.827,0.8274,0.8294,0.853,0.8032,0.8402,0.8576,0.8098,0.8768,0.8558,0.8454
coastalchp/ledgar,0.7921584317,0.7881576315,0.7813562713,0.7569513903,0.7951590318,0.7949589918,0.7809561912,0.775755151,0.7827565513,0.7947589518,0.7843568714,0.7957591518,0.800960192,0.7783556711,0.7953590718,0.7971594319,0.7863572715,0.7971594319,0.7839567914,0.7767553511
community-datasets/yahoo_answers_topics,0.6766,0.667,0.6512,0.6796,0.6804,0.7004,0.6882,0.6944,0.6926,0.6874,0.6718,0.678,0.6812,0.6156,0.6722,0.69,0.6748,0.6904,0.6742,0.6656
cornell-movie-review-data/rotten_tomatoes,0.8273921201,0.8470919325,0.8470919325,0.7288930582,0.8574108818,0.8555347092,0.8602251407,0.861163227,0.8602251407,0.8377110694,0.8367729831,0.9015009381,0.861163227,0.7889305816,0.8424015009,0.8499061914,0.8245778612,0.8545966229,0.8377110694,0.8574108818
dair-ai/emotion (split),0.9065,0.9115,0.908,0.904,0.9005,0.9125,0.915,0.9175,0.9115,0.905,0.914,0.912,0.902,0.896,0.914,0.8935,0.9135,0.91,0.913,0.903
fancyzhx/amazon_polarity,0.9396,0.9294,0.9304,0.9158,0.9282,0.9452,0.9468,0.9572,0.9418,0.9318,0.931,0.9326,0.9362,0.9206,0.9216,0.9542,0.9416,0.9472,0.9354,0.9482
fancyzhx/dbpedia_14,0.9844,0.99,0.9842,0.986,0.9916,0.992,0.9902,0.9866,0.9864,0.9912,0.9896,0.9894,0.9876,0.9812,0.987,0.9868,0.9892,0.9868,0.9802,0.9878
google-research-datasets/google_wellformed_query,0.4218181818,0.4241558442,0.3948051948,0.4064935065,0.4197402597,0.4238961039,0.4267532468,0.4285714286,0.4132467532,0.4103896104,0.4075324675,0.3971428571,0.3981818182,0.3849350649,0.3779220779,0.418961039,0.4106493506,0.4168831169,0.3966233766,0.4
google-research-datasets/poem_sentiment,0.8557692308,0.8557692308,0.8846153846,0.7980769231,0.8076923077,0.8173076923,0.8557692308,0.9038461538,0.8269230769,0.8942307692,0.8653846154,0.8653846154,0.8461538462,0.8173076923,0.8846153846,0.8846153846,0.8846153846,0.8653846154,0.8076923077,0.7788461538
iastate/onestop_english,0.9649122807,1.0,1.0,0.9649122807,1.0,0.9824561404,0.9824561404,1.0,1.0,0.9649122807,0.9473684211,0.9824561404,0.9649122807,0.9649122807,0.9473684211,0.9649122807,0.9298245614,0.9824561404,0.9473684211,0.9649122807
jackhhao/jailbreak-classification,0.9885496183,0.9770992366,0.9885496183,0.9809160305,0.9885496183,0.9923664122,0.9961832061,0.9694656489,0.9961832061,0.965648855,0.9847328244,0.9732824427,0.9618320611,0.9809160305,0.9961832061,0.9770992366,0.9885496183,0.9770992366,0.9809160305,0.9847328244
liaad/newspop,0.995,0.9942,0.996,0.9952,0.9952,0.9972,0.9968,0.9944,0.996,0.9962,0.9932,0.9942,0.996,0.9956,0.9954,0.9946,0.996,0.9942,0.994,0.9952
mteb/banking77,0.8985695709,0.9070221066,0.8855656697,0.8927178153,0.9050715215,0.9128738622,0.9014954486,0.9131989597,0.9076723017,0.9014954486,0.8884915475,0.8966189857,0.9092977893,0.8842652796,0.9070221066,0.8962938882,0.8930429129,0.9141742523,0.9024707412,0.877763329
nyu-mll/glue (cola),0.7833173538,0.794822627,0.7737296261,0.748801534,0.8235858102,0.828379674,0.8120805369,0.7986577181,0.8149568552,0.782358581,0.7737296261,0.7689357622,0.790987536,0.7219558965,0.7746883988,0.8187919463,0.7497603068,0.8044103547,0.6922339406,0.7631831256
odegiber/hate_speech18,0.8940639269,0.8803652968,0.8794520548,0.8767123288,0.8885844749,0.8876712329,0.8876712329,0.898630137,0.8840182648,0.897716895,0.8894977169,0.898630137,0.8904109589,0.8821917808,0.8867579909,0.8894977169,0.8858447489,0.8794520548,0.8794520548,0.8739726027
perctrix/unfair_tos,0.9385665529,0.9306029579,0.9351535836,0.9385665529,0.9453924915,0.9408418658,0.9453924915,0.9328782708,0.93629124,0.9385665529,0.9340159272,0.9374288965,0.9431171786,0.9328782708,0.9488054608,0.9385665529,0.9385665529,0.9419795222,0.9397042093,0.9158134243
raquiba/Sarcasm_News_Headline,0.8838,0.9062,0.8904,0.882,0.8972,0.9046,0.9008,0.9166,0.9102,0.8952,0.8802,0.8858,0.904,0.8578,0.8876,0.9104,0.8968,0.9188,0.8908,0.8894
river-martin/web-of-science-with-label-texts,0.8356,0.8442,0.8312,0.8482,0.839,0.8592,0.8468,0.831,0.839,0.8534,0.8422,0.8538,0.8296,0.847,0.8438,0.7898,0.8392,0.8482,0.8572,0.7932
sh0416/ag_news,0.8776,0.8994,0.8798,0.8892,0.8964,0.8928,0.8958,0.9034,0.9132,0.892,0.8914,0.8864,0.9,0.8758,0.9078,0.9006,0.8858,0.892,0.8864,0.899
sonos-nlu-benchmark/snips_built_in_intents,0.9696969697,1.0,0.9696969697,1.0,0.9393939394,1.0,1.0,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9090909091,0.9696969697,0.9393939394,0.9393939394,0.9393939394,0.9696969697,0.9393939394,0.9696969697,0.9090909091
stanfordnlp/imdb,0.9238,0.9084,0.9212,0.8908,0.9214,0.9228,0.9374,0.9344,0.9384,0.91,0.913,0.922,0.926,0.8832,0.924,0.9404,0.9048,0.9424,0.9132,0.9366
stanfordnlp/sst2,0.8922018349,0.8899082569,0.8830275229,0.7798165138,0.8910550459,0.9082568807,0.9174311927,0.8967889908,0.9139908257,0.869266055,0.873853211,0.9048165138,0.880733945,0.8291284404,0.8933486239,0.9231651376,0.8623853211,0.9231651376,0.875,0.8853211009
takala/financial_phrasebank,0.9120433018,0.9276048714,0.9147496617,0.9093369418,0.9215155616,0.9289580514,0.9221921516,0.9188092016,0.9391069012,0.9133964817,0.9147496617,0.9323410014,0.9228687415,0.9242219215,0.9242219215,0.9242219215,0.901894452,0.9228687415,0.9147496617,0.9235453315
tdavidson/hate_speech_offensive,0.9043969342,0.9035901573,0.8979427188,0.9043969342,0.9023799919,0.9052037112,0.9052037112,0.8939088342,0.879790238,0.9048003227,0.9035901573,0.9003630496,0.8999596612,0.8995562727,0.9023799919,0.8995562727,0.9060104881,0.8926986688,0.9035901573,0.901573215
toxigen/toxigen-data (annotated),0.5361702128,0.5329787234,0.5340425532,0.5265957447,0.5329787234,0.5361702128,0.5446808511,0.5457446809,0.535106383,0.5329787234,0.5425531915,0.5308510638,0.5361702128,0.5329787234,0.5436170213,0.5425531915,0.5319148936,0.5531914894,0.5372340426,0.5468085106
tuetschek/atis,0.9786036036,0.9763513514,0.9774774775,0.9808558559,0.9831081081,0.9808558559,0.9786036036,0.9763513514,0.9797297297,0.9786036036,0.9808558559,0.9797297297,0.9808558559,0.9763513514,0.9763513514,0.9808558559,0.9797297297,0.9786036036,0.9842342342,0.9752252252
ucirvine/sms_spam,0.9928315412,0.9910394265,0.9892473118,0.9928315412,0.9910394265,0.9928315412,0.9928315412,0.9928315412,0.9964157706,0.9910394265,0.9910394265,0.9928315412,0.9946236559,0.9928315412,0.9946236559,0.9910394265,0.9910394265,0.9946236559,0.9946236559,0.9946236559
zefang-liu/phishing-email-dataset,0.9694206009,0.9651287554,0.9678111588,0.9678111588,0.9667381974,0.9662017167,0.9678111588,0.9694206009,0.9699570815,0.9678111588,0.9683476395,0.964055794,0.9683476395,0.9608369099,0.9645922747,0.9624463519,0.9688841202,0.9683476395,0.9672746781,0.9635193133
zeroshot/twitter-financial-news-sentiment,0.8350083752,0.8467336683,0.8588777219,0.8216080402,0.8605527638,0.8567839196,0.8538525963,0.877721943,0.8731155779,0.8354271357,0.8324958124,0.8492462312,0.8442211055,0.8228643216,0.8592964824,0.8718592965,0.8345896147,0.8806532663,0.8433835846,0.8710217755
