Task,Model,Accuracy,F1_Score,Loss,Epochs
cornell-movie-review-data_rotten_tomatoes_emilyalsentzer-Bio,ClinicalBERT,0.7889305816,0.7881907864,0.473461777,12.0
dair-ai_emotion@split,j-hartmann-emotion-english-distilroberta-base,0.921,0.9215929547,0.3120157719,14.0
dair-ai_emotion@split_emilyalsentzer-Bio,ClinicalBERT,0.894,0.8951219315,0.3576172888,12.0
fancyzhx_amazon_polarity,microsoft-deberta-base,0.9468,0.9467899949,0.2142387182,14.0
fancyzhx_amazon_polarity_emilyalsentzer-Bio,ClinicalBERT,0.9134,0.9133904216,0.2856096625,12.0
fancyzhx_dbpedia_14,distilbert-base-uncased,0.989,0.988990129,0.0520411991,12.0
fancyzhx_dbpedia_14_emilyalsentzer-Bio,ClinicalBERT,0.98,0.9800002861,0.1039472669,12.0
google-research-datasets_google_wellformed_query,GroNLP-hateBERT,0.4262337662,0.3175681369,1.456040144,11.0
google-research-datasets_google_wellformed_query_emilyalsentzer-Bio,ClinicalBERT,0.3857142857,0.3216512139,1.5362868309,12.0
google-research-datasets_poem_sentiment,cardiffnlp-twitter-roberta-base-sentiment-latest,0.8942307692,0.893680585,0.3971682787,11.0
google-research-datasets_poem_sentiment_emilyalsentzer-Bio,ClinicalBERT,0.7403846154,0.6824803803,0.6795908213,11.0
iastate_onestop_english,bert-base-uncased,1.0,1.0,0.0004360538,20.0
iastate_onestop_english_emilyalsentzer-Bio,ClinicalBERT,0.9298245614,0.9298245614,0.2288717479,13.0
jackhhao_jailbreak-classification,distilbert-base-uncased-finetuned-sst-2-english,0.9961832061,0.9961822569,0.0140404068,12.0
jackhhao_jailbreak-classification_emilyalsentzer-Bio,ClinicalBERT,0.9732824427,0.97326014,0.1151915267,12.0
liaad_newspop,bert-base-uncased,0.9968,0.9968002076,0.0165072419,12.0
liaad_newspop_emilyalsentzer-Bio,ClinicalBERT,0.9926,0.9926010083,0.0321870632,12.0
mteb_banking77,bert-base-uncased,0.9044213264,0.9038858179,0.3966678679,14.0
mteb_banking77_emilyalsentzer-Bio,ClinicalBERT,0.8800390117,0.8797785903,0.4896920025,14.0
odegiber_hate_speech18,deepset-roberta-base-squad2,0.900456621,0.877186517,0.3271475136,11.0
odegiber_hate_speech18_emilyalsentzer-Bio,ClinicalBERT,0.8566210046,0.8560566667,0.3666701615,11.0
perctrix_unfair_tos,distilroberta-base,0.9476678043,0.9442522959,0.2345408499,12.0
perctrix_unfair_tos_emilyalsentzer-Bio,ClinicalBERT,0.9419795222,0.9358584852,0.2711634636,12.0
raquiba_Sarcasm_News_Headline,cardiffnlp-twitter-roberta-base-sentiment-latest,0.92,0.9202246562,0.2217727005,11.0
raquiba_Sarcasm_News_Headline_emilyalsentzer-Bio,ClinicalBERT,0.8852,0.8847401133,0.2930253744,11.0
river-martin_web-of-science-with-label-texts,bert-base-multilingual-uncased,0.8598,0.8583622876,0.519518435,14.0
river-martin_web-of-science-with-label-texts_emilyalsentzer-Bio,ClinicalBERT,0.8506,0.8508807077,0.5450540781,13.0
sh0416_ag_news,j-hartmann-emotion-english-distilroberta-base,0.9114,0.9111263443,0.3928206861,13.0
sh0416_ag_news_emilyalsentzer-Bio,ClinicalBERT,0.8704,0.8701792555,0.4112104475,11.0
sonos-nlu-benchmark_snips_built_in_intents,j-hartmann-emotion-english-distilroberta-base,1.0,1.0,0.0037111589,56.0
sonos-nlu-benchmark_snips_built_in_intents_emilyalsentzer-Bio,ClinicalBERT,0.9393939394,0.937012987,0.2207092494,16.0
stanfordnlp_imdb,cardiffnlp-twitter-roberta-base-sentiment-latest,0.9346,0.9345968371,0.1985507011,13.0
stanfordnlp_imdb_emilyalsentzer-Bio,ClinicalBERT,0.8506,0.8490968533,0.3618083,12.0
takala_financial_phrasebank,roberta-base,0.9343707713,0.9342864613,0.3325940073,18.0
takala_financial_phrasebank_emilyalsentzer-Bio,ClinicalBERT,0.9073071719,0.9075259534,0.2732616365,11.0
tdavidson_hate_speech_offensive,GroNLP-hateBERT,0.9104477612,0.8901355271,0.2829964757,12.0
tdavidson_hate_speech_offensive_emilyalsentzer-Bio,ClinicalBERT,0.8983461073,0.8757684187,0.3320812881,12.0
toxigen_toxigen-data@annotated,ProsusAI-finbert,0.5478723404,0.4372528333,1.0985070467,11.0
toxigen_toxigen-data@annotated_emilyalsentzer-Bio,ClinicalBERT,0.5191489362,0.3832056909,1.1454030275,11.0
tuetschek_atis,distilbert-base-uncased,0.9831081081,0.9841249377,0.1102396548,12.0
tuetschek_atis_emilyalsentzer-Bio,ClinicalBERT,0.972972973,0.9715760833,0.1896646619,18.0
ucirvine_sms_spam,deepset-roberta-base-squad2,0.9964157706,0.9964157706,0.0303591248,13.0
ucirvine_sms_spam_emilyalsentzer-Bio,ClinicalBERT,0.9874551971,0.9872099228,0.0411474667,12.0
zefang-liu_phishing-email-dataset,GroNLP-hateBERT,0.9710300429,0.9711454147,0.1338210404,16.0
zefang-liu_phishing-email-dataset_emilyalsentzer-Bio,ClinicalBERT,0.9570815451,0.9573974366,0.147772342,16.0
zeroshot_twitter-financial-news-sentiment,deepset-roberta-base-squad2,0.8672529313,0.8666825081,0.3999240398,12.0
zeroshot_twitter-financial-news-sentiment_emilyalsentzer-Bio,ClinicalBERT,0.8412897822,0.8344312542,0.447029978,11.0
