dataset_name,subset,model_name,folder_name,status,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_loss,epoch,runtime
cardiffnlp/tweet_eval,emoji,distilbert-base-uncased-distilled-squad,cardiffnlp_tweet_eval@emoji_distilbert-base-uncased-distilled-squad,Completed,0.2968,0.2248871284,0.1979618396,0.2968,2.4225521088,13.0,18.1967
cardiffnlp/tweet_eval,emoji,distilbert-base-uncased-finetuned-sst-2-english,cardiffnlp_tweet_eval@emoji_distilbert-base-uncased-finetuned-sst-2-english,Completed,0.2942,0.2285920171,0.2409178708,0.2942,2.4233570099,13.0,18.2711
cardiffnlp/tweet_eval,emoji,distilroberta-base,cardiffnlp_tweet_eval@emoji_distilroberta-base,Completed,0.4012,0.360022909,0.3661426129,0.4012,1.9563187361,13.0,18.0555
cardiffnlp/tweet_eval,emoji,emilyalsentzer/Bio_ClinicalBERT,cardiffnlp_tweet_eval@emoji_emilyalsentzer-Bio_ClinicalBERT,Completed,0.275,0.2070173616,0.217189795,0.275,2.4576723576,13.0,35.896
cardiffnlp/tweet_eval,emoji,j-hartmann/emotion-english-distilroberta-base,cardiffnlp_tweet_eval@emoji_j-hartmann-emotion-english-distilroberta-base,Completed,0.3858,0.3276708321,0.3219706646,0.3858,2.0285711288,13.0,17.7071
cardiffnlp/tweet_eval,emoji,microsoft/deberta-base,cardiffnlp_tweet_eval@emoji_microsoft-deberta-base,Completed,0.4088,0.370560057,0.3869882375,0.4088,1.9847732782,13.0,66.8993
cardiffnlp/tweet_eval,emoji,nlptown/bert-base-multilingual-uncased-sentiment,cardiffnlp_tweet_eval@emoji_nlptown-bert-base-multilingual-uncased-sentiment,Completed,0.28,0.2199729469,0.2179239595,0.28,2.4402077198,12.0,35.808
cardiffnlp/tweet_eval,emoji,roberta-base,cardiffnlp_tweet_eval@emoji_roberta-base,Completed,0.4178,0.3777247095,0.3650511224,0.4178,1.9391820431,13.0,33.7405
cardiffnlp/tweet_eval,emoji,xlm-roberta-base,cardiffnlp_tweet_eval@emoji_xlm-roberta-base,Completed,0.3876,0.342739198,0.355951723,0.3876,2.0559515953,14.0,34.2976
cardiffnlp/tweet_eval,emoji,zhayunduo/roberta-base-stocktwits-finetuned,cardiffnlp_tweet_eval@emoji_zhayunduo-roberta-base-stocktwits-finetuned,Completed,0.3478,0.2784993474,0.301880811,0.3478,2.2478809357,14.0,33.9319
cardiffnlp/tweet_eval,emotion,GroNLP/hateBERT,cardiffnlp_tweet_eval@emotion_GroNLP-hateBERT,Completed,0.7881773399,0.7839347284,0.784468765,0.7881773399,0.5952790976,11.0,10.1464
cardiffnlp/tweet_eval,emotion,ProsusAI/finbert,cardiffnlp_tweet_eval@emotion_ProsusAI-finbert,Completed,0.8015482055,0.7967538845,0.7969187506,0.8015482055,0.5654053688,11.0,10.2711
cardiffnlp/tweet_eval,emotion,albert-base-v2,cardiffnlp_tweet_eval@emotion_albert-base-v2,Completed,0.7628430683,0.7614382993,0.765505408,0.7628430683,0.6692301631,13.0,11.9572
cardiffnlp/tweet_eval,emotion,bert-base-multilingual-uncased,cardiffnlp_tweet_eval@emotion_bert-base-multilingual-uncased,Completed,0.7769176636,0.7739770856,0.7751886234,0.7769176636,0.6267545819,12.0,10.1126
cardiffnlp/tweet_eval,emotion,bert-base-uncased,cardiffnlp_tweet_eval@emotion_bert-base-uncased,Completed,0.8170302604,0.8168693365,0.8179452133,0.8170302604,0.5152108073,12.0,10.2547
cardiffnlp/tweet_eval,emotion,bert-large-uncased,cardiffnlp_tweet_eval@emotion_bert-large-uncased,Completed,0.8071780436,0.8067913093,0.8087690492,0.8071780436,0.5358329415,11.0,32.875
cardiffnlp/tweet_eval,emotion,bert-large-uncased-whole-word-masking-finetuned-squad,cardiffnlp_tweet_eval@emotion_bert-large-uncased-whole-word-masking-finetuned-squad,Completed,0.7888810697,0.7906170032,0.8018137758,0.7888810697,0.5812734962,11.0,31.7876
cardiffnlp/tweet_eval,emotion,cardiffnlp/twitter-roberta-base-sentiment-latest,cardiffnlp_tweet_eval@emotion_cardiffnlp-twitter-roberta-base-sentiment-latest,Completed,0.8402533427,0.8422388528,0.8462614339,0.8402533427,0.4536041021,11.0,9.6962
cardiffnlp/tweet_eval,emotion,deepset/roberta-base-squad2,cardiffnlp_tweet_eval@emotion_deepset-roberta-base-squad2,Completed,0.7994370162,0.7946628928,0.7976911353,0.7994370162,0.5804729462,12.0,9.6527
cardiffnlp/tweet_eval,emotion,distilbert-base-uncased,cardiffnlp_tweet_eval@emotion_distilbert-base-uncased,Completed,0.7980295567,0.7930871935,0.7965101436,0.7980295567,0.6205701828,13.0,5.1823
cardiffnlp/tweet_eval,emotion,distilbert-base-uncased-distilled-squad,cardiffnlp_tweet_eval@emotion_distilbert-base-uncased-distilled-squad,Completed,0.7994370162,0.8001274793,0.8023804555,0.7994370162,0.5730503798,12.0,5.2415
cardiffnlp/tweet_eval,emotion,distilbert-base-uncased-finetuned-sst-2-english,cardiffnlp_tweet_eval@emotion_distilbert-base-uncased-finetuned-sst-2-english,Completed,0.7719915552,0.7600090626,0.7649709047,0.7719915552,0.6297953725,11.0,5.1776
cardiffnlp/tweet_eval,emotion,distilroberta-base,cardiffnlp_tweet_eval@emotion_distilroberta-base,Completed,0.7867698804,0.7846960544,0.78925656,0.7867698804,0.5742937326,12.0,5.0464
cardiffnlp/tweet_eval,emotion,emilyalsentzer/Bio_ClinicalBERT,cardiffnlp_tweet_eval@emotion_emilyalsentzer-Bio_ClinicalBERT,Completed,0.7741027445,0.7671003672,0.778339471,0.7741027445,0.6357322931,12.0,10.2704
cardiffnlp/tweet_eval,emotion,j-hartmann/emotion-english-distilroberta-base,cardiffnlp_tweet_eval@emotion_j-hartmann-emotion-english-distilroberta-base,Completed,0.7832512315,0.778601599,0.7810338773,0.7832512315,0.6330103874,11.0,4.9916
cardiffnlp/tweet_eval,emotion,microsoft/deberta-base,cardiffnlp_tweet_eval@emotion_microsoft-deberta-base,Completed,0.8135116115,0.8112184661,0.8183657121,0.8135116115,0.5340746045,11.0,18.6093
cardiffnlp/tweet_eval,emotion,nlptown/bert-base-multilingual-uncased-sentiment,cardiffnlp_tweet_eval@emotion_nlptown-bert-base-multilingual-uncased-sentiment,Completed,0.7712878255,0.7663090711,0.771171163,0.7712878255,0.6491616964,12.0,10.2387
cardiffnlp/tweet_eval,emotion,roberta-base,cardiffnlp_tweet_eval@emotion_roberta-base,Completed,0.8149190711,0.8146828151,0.8149254657,0.8149190711,0.5280100107,12.0,9.6336
cardiffnlp/tweet_eval,emotion,xlm-roberta-base,cardiffnlp_tweet_eval@emotion_xlm-roberta-base,Completed,0.7811400422,0.7798842063,0.7861456823,0.7811400422,0.5779032111,12.0,9.5748
cardiffnlp/tweet_eval,emotion,zhayunduo/roberta-base-stocktwits-finetuned,cardiffnlp_tweet_eval@emotion_zhayunduo-roberta-base-stocktwits-finetuned,Completed,0.7832512315,0.7804978238,0.7834996687,0.7832512315,0.7109856009,13.0,9.7092
cardiffnlp/tweet_eval,hate,GroNLP/hateBERT,cardiffnlp_tweet_eval@hate_GroNLP-hateBERT,Completed,0.5612794613,0.5367892414,0.6541252589,0.5612794613,1.1268248558,11.0,21.1906
cardiffnlp/tweet_eval,hate,ProsusAI/finbert,cardiffnlp_tweet_eval@hate_ProsusAI-finbert,Completed,0.5818181818,0.5788753696,0.6214964116,0.5818181818,0.9106382728,11.0,21.1851
cardiffnlp/tweet_eval,hate,albert-base-v2,cardiffnlp_tweet_eval@hate_albert-base-v2,Completed,0.5006734007,0.4367620079,0.6363113842,0.5006734007,1.3061286211,13.0,25.2845
cardiffnlp/tweet_eval,hate,bert-base-multilingual-uncased,cardiffnlp_tweet_eval@hate_bert-base-multilingual-uncased,Completed,0.4686868687,0.4023202072,0.5631377714,0.4686868687,0.9973753691,11.0,21.2167
cardiffnlp/tweet_eval,hate,bert-base-uncased,cardiffnlp_tweet_eval@hate_bert-base-uncased,Completed,0.568013468,0.5421891111,0.6687205005,0.568013468,1.1983752251,12.0,21.2054
cardiffnlp/tweet_eval,hate,bert-large-uncased,cardiffnlp_tweet_eval@hate_bert-large-uncased,Completed,0.4801346801,0.3928733776,0.6402734186,0.4801346801,0.9117314219,11.0,67.8136
cardiffnlp/tweet_eval,hate,bert-large-uncased-whole-word-masking-finetuned-squad,cardiffnlp_tweet_eval@hate_bert-large-uncased-whole-word-masking-finetuned-squad,Completed,0.5407407407,0.50289743,0.6550930629,0.5407407407,0.8959724903,11.0,68.6362
cardiffnlp/tweet_eval,hate,cardiffnlp/twitter-roberta-base-sentiment-latest,cardiffnlp_tweet_eval@hate_cardiffnlp-twitter-roberta-base-sentiment-latest,Completed,0.5882154882,0.5705532689,0.674729046,0.5882154882,0.9157874584,11.0,20.0782
cardiffnlp/tweet_eval,hate,deepset/roberta-base-squad2,cardiffnlp_tweet_eval@hate_deepset-roberta-base-squad2,Completed,0.4912457912,0.4073824214,0.668286476,0.4912457912,1.6494348049,12.0,20.303
cardiffnlp/tweet_eval,hate,distilbert-base-uncased,cardiffnlp_tweet_eval@hate_distilbert-base-uncased,Completed,0.5545454545,0.532874609,0.636455885,0.5545454545,0.9284270406,11.0,10.8233
cardiffnlp/tweet_eval,hate,distilbert-base-uncased-distilled-squad,cardiffnlp_tweet_eval@hate_distilbert-base-uncased-distilled-squad,Completed,0.4966329966,0.4204962256,0.6600419265,0.4966329966,1.3529162407,12.0,10.7987
cardiffnlp/tweet_eval,hate,distilbert-base-uncased-finetuned-sst-2-english,cardiffnlp_tweet_eval@hate_distilbert-base-uncased-finetuned-sst-2-english,Completed,0.568013468,0.5575376793,0.6265727421,0.568013468,1.0339310169,11.0,11.0308
cardiffnlp/tweet_eval,hate,distilroberta-base,cardiffnlp_tweet_eval@hate_distilroberta-base,Completed,0.5222222222,0.4965553022,0.5967710527,0.5222222222,1.1373864412,11.0,10.4317
cardiffnlp/tweet_eval,hate,emilyalsentzer/Bio_ClinicalBERT,cardiffnlp_tweet_eval@hate_emilyalsentzer-Bio_ClinicalBERT,Completed,0.4892255892,0.4605323258,0.5520095888,0.4892255892,1.1150239706,11.0,21.1648
cardiffnlp/tweet_eval,hate,j-hartmann/emotion-english-distilroberta-base,cardiffnlp_tweet_eval@hate_j-hartmann-emotion-english-distilroberta-base,Completed,0.4993265993,0.4352428225,0.6333311649,0.4993265993,1.2921868563,12.0,10.6976
cardiffnlp/tweet_eval,hate,microsoft/deberta-base,cardiffnlp_tweet_eval@hate_microsoft-deberta-base,Completed,0.5824915825,0.5795535091,0.6222329099,0.5824915825,0.9537292123,11.0,38.8953
cardiffnlp/tweet_eval,hate,nlptown/bert-base-multilingual-uncased-sentiment,cardiffnlp_tweet_eval@hate_nlptown-bert-base-multilingual-uncased-sentiment,Completed,0.4865319865,0.4320545258,0.5840773154,0.4865319865,1.1774376631,11.0,21.0859
cardiffnlp/tweet_eval,hate,roberta-base,cardiffnlp_tweet_eval@hate_roberta-base,Completed,0.5286195286,0.4718148878,0.6857712916,0.5286195286,1.4072089195,12.0,20.32
cardiffnlp/tweet_eval,hate,xlm-roberta-base,cardiffnlp_tweet_eval@hate_xlm-roberta-base,Completed,0.5286195286,0.4810652992,0.6574844467,0.5286195286,1.5572990179,13.0,20.1522
cardiffnlp/tweet_eval,hate,zhayunduo/roberta-base-stocktwits-finetuned,cardiffnlp_tweet_eval@hate_zhayunduo-roberta-base-stocktwits-finetuned,Completed,0.52996633,0.5003842304,0.6166051025,0.52996633,1.2360706329,11.0,20.045
cardiffnlp/tweet_eval,irony,GroNLP/hateBERT,cardiffnlp_tweet_eval@irony_GroNLP-hateBERT,Completed,0.6887755102,0.6892689817,0.6898431412,0.6887755102,0.5918409228,11.0,5.6594
cardiffnlp/tweet_eval,irony,ProsusAI/finbert,cardiffnlp_tweet_eval@irony_ProsusAI-finbert,Completed,0.6492346939,0.6290131632,0.6379876066,0.6492346939,0.628663063,11.0,5.6028
cardiffnlp/tweet_eval,irony,albert-base-v2,cardiffnlp_tweet_eval@irony_albert-base-v2,Completed,0.6721938776,0.6749872129,0.6817861467,0.6721938776,0.6127390862,12.0,6.5865
cardiffnlp/tweet_eval,irony,bert-base-multilingual-uncased,cardiffnlp_tweet_eval@irony_bert-base-multilingual-uncased,Completed,0.6556122449,0.6579469554,0.6969723263,0.6556122449,0.6321952343,12.0,5.6261
cardiffnlp/tweet_eval,irony,bert-base-uncased,cardiffnlp_tweet_eval@irony_bert-base-uncased,Completed,0.6479591837,0.6449888059,0.6434492687,0.6479591837,0.6542876363,12.0,5.592
cardiffnlp/tweet_eval,irony,bert-large-uncased,cardiffnlp_tweet_eval@irony_bert-large-uncased,Completed,0.6237244898,0.613455829,0.6124414907,0.6237244898,0.6662163138,11.0,17.5978
cardiffnlp/tweet_eval,irony,bert-large-uncased-whole-word-masking-finetuned-squad,cardiffnlp_tweet_eval@irony_bert-large-uncased-whole-word-masking-finetuned-squad,Completed,0.5982142857,0.5998263544,0.6435711038,0.5982142857,0.7615968585,11.0,17.7205
cardiffnlp/tweet_eval,irony,cardiffnlp/twitter-roberta-base-sentiment-latest,cardiffnlp_tweet_eval@irony_cardiffnlp-twitter-roberta-base-sentiment-latest,Completed,0.7104591837,0.6937672293,0.7107796772,0.7104591837,0.6212407351,12.0,5.3045
cardiffnlp/tweet_eval,irony,deepset/roberta-base-squad2,cardiffnlp_tweet_eval@irony_deepset-roberta-base-squad2,Completed,0.6211734694,0.6091165342,0.6086489549,0.6211734694,0.6546548605,11.0,5.2834
cardiffnlp/tweet_eval,irony,distilbert-base-uncased,cardiffnlp_tweet_eval@irony_distilbert-base-uncased,Completed,0.674744898,0.6643929839,0.6670668646,0.674744898,0.6052228808,12.0,2.9052
cardiffnlp/tweet_eval,irony,distilbert-base-uncased-distilled-squad,cardiffnlp_tweet_eval@irony_distilbert-base-uncased-distilled-squad,Completed,0.6594387755,0.6631004715,0.6821966974,0.6594387755,0.6273560524,12.0,2.8382
cardiffnlp/tweet_eval,irony,distilbert-base-uncased-finetuned-sst-2-english,cardiffnlp_tweet_eval@irony_distilbert-base-uncased-finetuned-sst-2-english,Completed,0.6058673469,0.5899071375,0.5898152242,0.6058673469,0.6821075678,11.0,2.8509
cardiffnlp/tweet_eval,irony,distilroberta-base,cardiffnlp_tweet_eval@irony_distilroberta-base,Completed,0.6224489796,0.6146958896,0.6128923014,0.6224489796,0.6802284122,11.0,2.8129
cardiffnlp/tweet_eval,irony,emilyalsentzer/Bio_ClinicalBERT,cardiffnlp_tweet_eval@irony_emilyalsentzer-Bio_ClinicalBERT,Completed,0.5956632653,0.5946003027,0.5936915363,0.5956632653,0.654302299,11.0,5.6039
cardiffnlp/tweet_eval,irony,j-hartmann/emotion-english-distilroberta-base,cardiffnlp_tweet_eval@irony_j-hartmann-emotion-english-distilroberta-base,Completed,0.5676020408,0.5156841749,0.5207434277,0.5676020408,0.8006457686,11.0,2.7749
cardiffnlp/tweet_eval,irony,microsoft/deberta-base,cardiffnlp_tweet_eval@irony_microsoft-deberta-base,Completed,0.7193877551,0.7178262707,0.717037943,0.7193877551,0.5705835223,11.0,10.388
cardiffnlp/tweet_eval,irony,nlptown/bert-base-multilingual-uncased-sentiment,cardiffnlp_tweet_eval@irony_nlptown-bert-base-multilingual-uncased-sentiment,Completed,0.6517857143,0.6549150811,0.662676595,0.6517857143,0.6592106819,12.0,5.5807
cardiffnlp/tweet_eval,irony,roberta-base,cardiffnlp_tweet_eval@irony_roberta-base,Completed,0.6568877551,0.6598115186,0.6666443272,0.6568877551,0.631882906,12.0,5.2778
cardiffnlp/tweet_eval,irony,xlm-roberta-base,cardiffnlp_tweet_eval@irony_xlm-roberta-base,Completed,0.6339285714,0.6347487811,0.6855978679,0.6339285714,0.6418849826,12.0,5.3168
cardiffnlp/tweet_eval,irony,zhayunduo/roberta-base-stocktwits-finetuned,cardiffnlp_tweet_eval@irony_zhayunduo-roberta-base-stocktwits-finetuned,Completed,0.6785714286,0.6810987471,0.6867867847,0.6785714286,0.6088285446,11.0,5.3062
cardiffnlp/tweet_eval,offensive,GroNLP/hateBERT,cardiffnlp_tweet_eval@offensive_GroNLP-hateBERT,Completed,0.8441860465,0.8353778233,0.8406233099,0.8441860465,0.3906828463,11.0,6.1253
cardiffnlp/tweet_eval,offensive,ProsusAI/finbert,cardiffnlp_tweet_eval@offensive_ProsusAI-finbert,Completed,0.8406976744,0.831524153,0.836739129,0.8406976744,0.3920580149,11.0,6.2151
cardiffnlp/tweet_eval,offensive,albert-base-v2,cardiffnlp_tweet_eval@offensive_albert-base-v2,Completed,0.8418604651,0.8401411796,0.8391002737,0.8418604651,0.3746019602,12.0,7.2268
cardiffnlp/tweet_eval,offensive,bert-base-multilingual-uncased,cardiffnlp_tweet_eval@offensive_bert-base-multilingual-uncased,Completed,0.823255814,0.8117349163,0.8172540927,0.823255814,0.4115256369,12.0,6.1267
cardiffnlp/tweet_eval,offensive,bert-base-uncased,cardiffnlp_tweet_eval@offensive_bert-base-uncased,Completed,0.8430232558,0.8339836544,0.8394174588,0.8430232558,0.3908863366,11.0,6.2084
cardiffnlp/tweet_eval,offensive,bert-large-uncased,cardiffnlp_tweet_eval@offensive_bert-large-uncased,Completed,0.7209302326,0.6040226273,0.5197404002,0.7209302326,0.6012483835,12.0,19.6302
cardiffnlp/tweet_eval,offensive,bert-large-uncased-whole-word-masking-finetuned-squad,cardiffnlp_tweet_eval@offensive_bert-large-uncased-whole-word-masking-finetuned-squad,Completed,0.8418604651,0.8329207758,0.8379529475,0.8418604651,0.4234136641,11.0,19.2481
cardiffnlp/tweet_eval,offensive,cardiffnlp/twitter-roberta-base-sentiment-latest,cardiffnlp_tweet_eval@offensive_cardiffnlp-twitter-roberta-base-sentiment-latest,Completed,0.8511627907,0.8421140436,0.8493077026,0.8511627907,0.3366697133,11.0,5.8805
cardiffnlp/tweet_eval,offensive,deepset/roberta-base-squad2,cardiffnlp_tweet_eval@offensive_deepset-roberta-base-squad2,Completed,0.8523255814,0.8438216601,0.8501307781,0.8523255814,0.3811784685,11.0,5.8297
cardiffnlp/tweet_eval,offensive,distilbert-base-uncased,cardiffnlp_tweet_eval@offensive_distilbert-base-uncased,Completed,0.8360465116,0.8216520349,0.8367550653,0.8360465116,0.3952555358,11.0,3.1344
cardiffnlp/tweet_eval,offensive,distilbert-base-uncased-distilled-squad,cardiffnlp_tweet_eval@offensive_distilbert-base-uncased-distilled-squad,Completed,0.8279069767,0.8112281246,0.8286735811,0.8279069767,0.4012903869,11.0,3.1743
cardiffnlp/tweet_eval,offensive,distilbert-base-uncased-finetuned-sst-2-english,cardiffnlp_tweet_eval@offensive_distilbert-base-uncased-finetuned-sst-2-english,Completed,0.8081395349,0.783744889,0.8101878715,0.8081395349,0.4359129369,11.0,3.13
cardiffnlp/tweet_eval,offensive,distilroberta-base,cardiffnlp_tweet_eval@offensive_distilroberta-base,Completed,0.8453488372,0.8367683909,0.8418281401,0.8453488372,0.3764385581,11.0,3.0523
cardiffnlp/tweet_eval,offensive,emilyalsentzer/Bio_ClinicalBERT,cardiffnlp_tweet_eval@offensive_emilyalsentzer-Bio_ClinicalBERT,Completed,0.8255813953,0.8209708214,0.8198195756,0.8255813953,0.4100379348,12.0,6.2256
cardiffnlp/tweet_eval,offensive,j-hartmann/emotion-english-distilroberta-base,cardiffnlp_tweet_eval@offensive_j-hartmann-emotion-english-distilroberta-base,Completed,0.8337209302,0.8230665186,0.8294279587,0.8337209302,0.3839555383,11.0,3.0184
cardiffnlp/tweet_eval,offensive,microsoft/deberta-base,cardiffnlp_tweet_eval@offensive_microsoft-deberta-base,Completed,0.8395348837,0.8405199856,0.8417567671,0.8395348837,0.3740824759,11.0,11.2729
cardiffnlp/tweet_eval,offensive,nlptown/bert-base-multilingual-uncased-sentiment,cardiffnlp_tweet_eval@offensive_nlptown-bert-base-multilingual-uncased-sentiment,Completed,0.811627907,0.8046728297,0.8038312909,0.811627907,0.4314365089,11.0,6.1974
cardiffnlp/tweet_eval,offensive,roberta-base,cardiffnlp_tweet_eval@offensive_roberta-base,Completed,0.8360465116,0.8336611372,0.8324421413,0.8360465116,0.3851957917,13.0,5.8307
cardiffnlp/tweet_eval,offensive,xlm-roberta-base,cardiffnlp_tweet_eval@offensive_xlm-roberta-base,Completed,0.8465116279,0.8454927264,0.8447381514,0.8465116279,0.3843972981,13.0,5.8029
cardiffnlp/tweet_eval,offensive,zhayunduo/roberta-base-stocktwits-finetuned,cardiffnlp_tweet_eval@offensive_zhayunduo-roberta-base-stocktwits-finetuned,Completed,0.7930232558,0.7995663382,0.8150145734,0.7930232558,0.4235438406,12.0,5.8861
cardiffnlp/tweet_eval,sentiment,GroNLP/hateBERT,cardiffnlp_tweet_eval@sentiment_GroNLP-hateBERT,Completed,0.691,0.6892348654,0.695349244,0.691,0.7146367431,11.0,35.6106
cardiffnlp/tweet_eval,sentiment,ProsusAI/finbert,cardiffnlp_tweet_eval@sentiment_ProsusAI-finbert,Completed,0.6856,0.6843105758,0.6876696423,0.6856,0.7187272906,11.0,35.6273
cardiffnlp/tweet_eval,sentiment,albert-base-v2,cardiffnlp_tweet_eval@sentiment_albert-base-v2,Completed,0.6574,0.6572712507,0.668535967,0.6574,0.8567714691,12.0,43.0099
cardiffnlp/tweet_eval,sentiment,bert-base-multilingual-uncased,cardiffnlp_tweet_eval@sentiment_bert-base-multilingual-uncased,Completed,0.606,0.562288803,0.6696840894,0.606,0.9046093822,11.0,35.6499
cardiffnlp/tweet_eval,sentiment,bert-base-uncased,cardiffnlp_tweet_eval@sentiment_bert-base-uncased,Completed,0.6606,0.6516125197,0.6786526579,0.6606,0.7375795841,11.0,35.5232
cardiffnlp/tweet_eval,sentiment,bert-large-uncased,cardiffnlp_tweet_eval@sentiment_bert-large-uncased,Completed,0.6738,0.6633191608,0.698158719,0.6738,0.7243248224,11.0,115.7642
cardiffnlp/tweet_eval,sentiment,bert-large-uncased-whole-word-masking-finetuned-squad,cardiffnlp_tweet_eval@sentiment_bert-large-uncased-whole-word-masking-finetuned-squad,Completed,0.6448,0.6212502872,0.6953096989,0.6448,0.8027552962,11.0,115.7659
cardiffnlp/tweet_eval,sentiment,cardiffnlp/twitter-roberta-base-sentiment-latest,cardiffnlp_tweet_eval@sentiment_cardiffnlp-twitter-roberta-base-sentiment-latest,Completed,0.7272,0.726285015,0.7316647776,0.7272,0.6178148389,11.0,33.6597
cardiffnlp/tweet_eval,sentiment,deepset/roberta-base-squad2,cardiffnlp_tweet_eval@sentiment_deepset-roberta-base-squad2,Completed,0.6816,0.6811475911,0.6961511611,0.6816,0.7317028642,12.0,34.3209
cardiffnlp/tweet_eval,sentiment,distilbert-base-uncased,cardiffnlp_tweet_eval@sentiment_distilbert-base-uncased,Completed,0.6794,0.6772986782,0.6835675904,0.6794,0.7228810787,11.0,18.2145
cardiffnlp/tweet_eval,sentiment,distilbert-base-uncased-distilled-squad,cardiffnlp_tweet_eval@sentiment_distilbert-base-uncased-distilled-squad,Completed,0.672,0.6701963126,0.6742147067,0.672,0.7468765378,11.0,18.2315
cardiffnlp/tweet_eval,sentiment,distilbert-base-uncased-finetuned-sst-2-english,cardiffnlp_tweet_eval@sentiment_distilbert-base-uncased-finetuned-sst-2-english,Completed,0.6798,0.6790607656,0.6810175627,0.6798,0.7245133519,11.0,18.5875
cardiffnlp/tweet_eval,sentiment,distilroberta-base,cardiffnlp_tweet_eval@sentiment_distilroberta-base,Completed,0.6594,0.6446865657,0.6903561917,0.6594,0.7640744448,11.0,17.6231
cardiffnlp/tweet_eval,sentiment,emilyalsentzer/Bio_ClinicalBERT,cardiffnlp_tweet_eval@sentiment_emilyalsentzer-Bio_ClinicalBERT,Completed,0.6056,0.5803185781,0.6373527116,0.6056,0.9068878889,11.0,35.6236
cardiffnlp/tweet_eval,sentiment,j-hartmann/emotion-english-distilroberta-base,cardiffnlp_tweet_eval@sentiment_j-hartmann-emotion-english-distilroberta-base,Completed,0.6914,0.6911613793,0.6922708696,0.6914,0.7144349813,11.0,18.0012
cardiffnlp/tweet_eval,sentiment,microsoft/deberta-base,cardiffnlp_tweet_eval@sentiment_microsoft-deberta-base,Completed,0.6434,0.6449017736,0.6762501742,0.6434,0.8244073987,12.0,65.4893
cardiffnlp/tweet_eval,sentiment,nlptown/bert-base-multilingual-uncased-sentiment,cardiffnlp_tweet_eval@sentiment_nlptown-bert-base-multilingual-uncased-sentiment,Completed,0.6416,0.6245633335,0.6763403555,0.6416,0.7973920703,11.0,35.4956
cardiffnlp/tweet_eval,sentiment,roberta-base,cardiffnlp_tweet_eval@sentiment_roberta-base,Completed,0.6718,0.6718164847,0.6933529853,0.6718,0.7640829086,12.0,34.6642
cardiffnlp/tweet_eval,sentiment,xlm-roberta-base,cardiffnlp_tweet_eval@sentiment_xlm-roberta-base,Completed,0.6624,0.6621276931,0.6669166301,0.6624,0.8439462185,13.0,34.0526
cardiffnlp/tweet_eval,sentiment,zhayunduo/roberta-base-stocktwits-finetuned,cardiffnlp_tweet_eval@sentiment_zhayunduo-roberta-base-stocktwits-finetuned,Completed,0.6866,0.6837485265,0.6961086163,0.6866,0.7107182145,11.0,33.7645
dair-ai/emotion,split,GroNLP/hateBERT,dair-ai_emotion@split_GroNLP-hateBERT,Completed,0.9065,0.9058935431,0.9093252877,0.9065,0.317255199,12.0,14.4453
