task,model,accuracy,f1,precision,recall,loss,runtime,epoch,folder_id
ade-benchmark-corpus_ade_corpus_v2@Ade_corpus_v2_classification,zhayunduo-roberta-base-stocktwits-finetuned,0.9230442177,0.9222811782,0.9223281465,0.9230442177,0.2607514262,15.9923,12.0,ade-benchmark-corpus_ade_corpus_v2@Ade_corpus_v2_classification_zhayunduo-roberta-base-stocktwits-finetuned
ade-benchmark-corpus_ade_corpus_v2@Ade_corpus_v2_classification_emilyalsentzer-Bio,ClinicalBERT,0.9238945578,0.925166635,0.9295944879,0.9238945578,0.195901081,17.1982,11.0,ade-benchmark-corpus_ade_corpus_v2@Ade_corpus_v2_classification_emilyalsentzer-Bio_ClinicalBERT
armanc_pubmed-rct20k,distilroberta-base,0.8338,0.8319987159,0.832232686,0.8338,0.4843399823,17.7824,12.0,armanc_pubmed-rct20k_distilroberta-base
armanc_pubmed-rct20k_emilyalsentzer-Bio,ClinicalBERT,0.8184,0.8167439639,0.8159761384,0.8184,0.5076257586,36.5863,11.0,armanc_pubmed-rct20k_emilyalsentzer-Bio_ClinicalBERT
cardiffnlp_tweet_eval@emoji,cardiffnlp-twitter-roberta-base-sentiment-latest,0.419,0.397955727,0.4019728617,0.419,2.0363385677,34.0059,13.0,cardiffnlp_tweet_eval@emoji_cardiffnlp-twitter-roberta-base-sentiment-latest
cardiffnlp_tweet_eval@emoji_emilyalsentzer-Bio,ClinicalBERT,0.2802,0.2251740566,0.2047280062,0.2802,2.4559934139,36.5397,13.0,cardiffnlp_tweet_eval@emoji_emilyalsentzer-Bio_ClinicalBERT
cardiffnlp_tweet_eval@emotion,cardiffnlp-twitter-roberta-base-sentiment-latest,0.8092892329,0.8141374575,0.8277141936,0.8092892329,0.5592000484,9.6643,11.0,cardiffnlp_tweet_eval@emotion_cardiffnlp-twitter-roberta-base-sentiment-latest
cardiffnlp_tweet_eval@emotion_emilyalsentzer-Bio,ClinicalBERT,0.7452498241,0.7343078412,0.7656272883,0.7452498241,0.7034453154,10.3712,12.0,cardiffnlp_tweet_eval@emotion_emilyalsentzer-Bio_ClinicalBERT
cardiffnlp_tweet_eval@hate,cardiffnlp-twitter-roberta-base-sentiment-latest,0.5939393939,0.5919847345,0.6315343155,0.5939393939,1.164227128,20.1991,11.0,cardiffnlp_tweet_eval@hate_cardiffnlp-twitter-roberta-base-sentiment-latest
cardiffnlp_tweet_eval@hate_emilyalsentzer-Bio,ClinicalBERT,0.5565656566,0.5586235833,0.5623293121,0.5565656566,0.8907321692,21.7167,11.0,cardiffnlp_tweet_eval@hate_emilyalsentzer-Bio_ClinicalBERT
cardiffnlp_tweet_eval@irony,GroNLP-hateBERT,0.7117346939,0.7138316174,0.718592493,0.7117346939,0.587561965,5.5732,11.0,cardiffnlp_tweet_eval@irony_GroNLP-hateBERT
cardiffnlp_tweet_eval@irony_emilyalsentzer-Bio,ClinicalBERT,0.5586734694,0.5607817692,0.5635981299,0.5586734694,0.7201905251,5.7184,11.0,cardiffnlp_tweet_eval@irony_emilyalsentzer-Bio_ClinicalBERT
cardiffnlp_tweet_eval@offensive,distilroberta-base,0.8523255814,0.8475348039,0.8480759393,0.8523255814,0.3728741705,3.0567,12.0,cardiffnlp_tweet_eval@offensive_distilroberta-base
cardiffnlp_tweet_eval@offensive_emilyalsentzer-Bio,ClinicalBERT,0.8325581395,0.8307377196,0.8295827326,0.8325581395,0.4233751297,6.2837,12.0,cardiffnlp_tweet_eval@offensive_emilyalsentzer-Bio_ClinicalBERT
cardiffnlp_tweet_eval@sentiment,cardiffnlp-twitter-roberta-base-sentiment-latest,0.7134,0.7114105617,0.7209152279,0.7134,0.673825264,33.9923,11.0,cardiffnlp_tweet_eval@sentiment_cardiffnlp-twitter-roberta-base-sentiment-latest
cardiffnlp_tweet_eval@sentiment_emilyalsentzer-Bio,ClinicalBERT,0.6072,0.6072968782,0.6315892706,0.6072,0.9144753814,36.5078,12.0,cardiffnlp_tweet_eval@sentiment_emilyalsentzer-Bio_ClinicalBERT
ccdv_patent-classification@abstract,microsoft-deberta-base,0.6156,0.6008122206,0.5943848895,0.6156,1.1943794489,70.0486,13.0,ccdv_patent-classification@abstract_microsoft-deberta-base
ccdv_patent-classification@abstract_emilyalsentzer-Bio,ClinicalBERT,0.5652,0.5339961379,0.5411429669,0.5652,1.2359004021,36.7174,12.0,ccdv_patent-classification@abstract_emilyalsentzer-Bio_ClinicalBERT
climatebert_climate_commitments_actions,distilroberta-base,0.8375,0.8402713178,0.8463942308,0.8375,0.4067703784,1.1381,12.0,climatebert_climate_commitments_actions_distilroberta-base
climatebert_climate_commitments_actions_emilyalsentzer-Bio,ClinicalBERT,0.790625,0.7869312444,0.785315537,0.790625,0.6423736811,2.3386,12.0,climatebert_climate_commitments_actions_emilyalsentzer-Bio_ClinicalBERT
climatebert_climate_detection,cardiffnlp-twitter-roberta-base-sentiment-latest,0.985,0.9849284278,0.9849339067,0.985,0.1310180426,2.7339,15.0,climatebert_climate_detection_cardiffnlp-twitter-roberta-base-sentiment-latest
climatebert_climate_detection_emilyalsentzer-Bio,ClinicalBERT,0.94,0.9423655914,0.9506666667,0.94,0.2091281861,2.9123,12.0,climatebert_climate_detection_emilyalsentzer-Bio_ClinicalBERT
climatebert_climate_specificity,distilroberta-base,0.83125,0.8232572115,0.8433182103,0.83125,0.4784666002,1.1406,12.0,climatebert_climate_specificity_distilroberta-base
climatebert_climate_specificity_emilyalsentzer-Bio,ClinicalBERT,0.778125,0.7586885845,0.8041148443,0.778125,0.6020525098,2.3287,12.0,climatebert_climate_specificity_emilyalsentzer-Bio_ClinicalBERT
climatebert_tcfd_recommendations,xlm-roberta-base,0.8,0.7943657713,0.8018129267,0.8,0.6752825975,2.7301,14.0,climatebert_tcfd_recommendations_xlm-roberta-base
climatebert_tcfd_recommendations_emilyalsentzer-Bio,ClinicalBERT,0.7025,0.6634888668,0.6423875883,0.7025,0.8672913909,2.9123,13.0,climatebert_tcfd_recommendations_emilyalsentzer-Bio_ClinicalBERT
clinc_clinc_oos@plus,cardiffnlp-twitter-roberta-base-sentiment-latest,0.8744,0.8677658705,0.8946003077,0.8744,0.8199253082,33.9621,18.0,clinc_clinc_oos@plus_cardiffnlp-twitter-roberta-base-sentiment-latest
clinc_clinc_oos@plus_emilyalsentzer-Bio,ClinicalBERT,0.8294,0.8194611252,0.8533187309,0.8294,0.9496386647,36.4522,17.0,clinc_clinc_oos@plus_emilyalsentzer-Bio_ClinicalBERT
coastalchp_ledgar,GroNLP-hateBERT,0.7925585117,0.7739776245,0.7757553859,0.7925585117,0.9170652628,35.8139,15.0,coastalchp_ledgar_GroNLP-hateBERT
coastalchp_ledgar_emilyalsentzer-Bio,ClinicalBERT,0.7771554311,0.76169549,0.7626063446,0.7771554311,0.9396580458,36.637,15.0,coastalchp_ledgar_emilyalsentzer-Bio_ClinicalBERT
community-datasets_yahoo_answers_topics,cardiffnlp-twitter-roberta-base-sentiment-latest,0.691,0.6822091532,0.690542846,0.691,1.0151083469,34.0555,11.0,community-datasets_yahoo_answers_topics_cardiffnlp-twitter-roberta-base-sentiment-latest
community-datasets_yahoo_answers_topics_emilyalsentzer-Bio,ClinicalBERT,0.6226,0.62331201,0.6268516239,0.6226,1.2027180195,36.6565,12.0,community-datasets_yahoo_answers_topics_emilyalsentzer-Bio_ClinicalBERT
cornell-movie-review-data_rotten_tomatoes,distilbert-base-uncased-finetuned-sst-2-english,0.8968105066,0.8967810766,0.8972635808,0.8968105066,0.2738627493,3.8692,11.0,cornell-movie-review-data_rotten_tomatoes_distilbert-base-uncased-finetuned-sst-2-english
cornell-movie-review-data_rotten_tomatoes_emilyalsentzer-Bio,ClinicalBERT,0.7889305816,0.7881907864,0.7930244181,0.7889305816,0.473461777,7.7867,12.0,cornell-movie-review-data_rotten_tomatoes_emilyalsentzer-Bio_ClinicalBERT
dair-ai_emotion@split,j-hartmann-emotion-english-distilroberta-base,0.921,0.9215929547,0.922600104,0.921,0.3120157719,7.0369,14.0,dair-ai_emotion@split_j-hartmann-emotion-english-distilroberta-base
dair-ai_emotion@split_emilyalsentzer-Bio,ClinicalBERT,0.894,0.8951219315,0.8986272979,0.894,0.3576172888,14.6061,12.0,dair-ai_emotion@split_emilyalsentzer-Bio_ClinicalBERT
fancyzhx_amazon_polarity,microsoft-deberta-base,0.9468,0.9467899949,0.9469694974,0.9468,0.2142387182,69.9325,14.0,fancyzhx_amazon_polarity_microsoft-deberta-base
fancyzhx_amazon_polarity_emilyalsentzer-Bio,ClinicalBERT,0.9134,0.9133904216,0.9138371137,0.9134,0.2856096625,36.5308,12.0,fancyzhx_amazon_polarity_emilyalsentzer-Bio_ClinicalBERT
fancyzhx_dbpedia_14,distilbert-base-uncased,0.989,0.988990129,0.9890745734,0.989,0.0520411991,18.7551,12.0,fancyzhx_dbpedia_14_distilbert-base-uncased
fancyzhx_dbpedia_14_emilyalsentzer-Bio,ClinicalBERT,0.98,0.9800002861,0.9801841132,0.98,0.1039472669,36.481,12.0,fancyzhx_dbpedia_14_emilyalsentzer-Bio_ClinicalBERT
google-research-datasets_google_wellformed_query,GroNLP-hateBERT,0.4262337662,0.3175681369,0.3207670254,0.4262337662,1.456040144,27.5494,11.0,google-research-datasets_google_wellformed_query_GroNLP-hateBERT
google-research-datasets_google_wellformed_query_emilyalsentzer-Bio,ClinicalBERT,0.3857142857,0.3216512139,0.353496196,0.3857142857,1.5362868309,28.1616,12.0,google-research-datasets_google_wellformed_query_emilyalsentzer-Bio_ClinicalBERT
google-research-datasets_poem_sentiment,cardiffnlp-twitter-roberta-base-sentiment-latest,0.8942307692,0.893680585,0.8960212582,0.8942307692,0.3971682787,0.7065,11.0,google-research-datasets_poem_sentiment_cardiffnlp-twitter-roberta-base-sentiment-latest
google-research-datasets_poem_sentiment_emilyalsentzer-Bio,ClinicalBERT,0.7403846154,0.6824803803,0.7936528232,0.7403846154,0.6795908213,0.7686,11.0,google-research-datasets_poem_sentiment_emilyalsentzer-Bio_ClinicalBERT
iastate_onestop_english,bert-base-uncased,1.0,1.0,1.0,1.0,0.0004360538,0.4181,20.0,iastate_onestop_english_bert-base-uncased
iastate_onestop_english_emilyalsentzer-Bio,ClinicalBERT,0.9298245614,0.9298245614,0.9298245614,0.9298245614,0.2288717479,0.4281,13.0,iastate_onestop_english_emilyalsentzer-Bio_ClinicalBERT
jackhhao_jailbreak-classification,distilbert-base-uncased-finetuned-sst-2-english,0.9961832061,0.9961822569,0.9962104689,0.9961832061,0.0140404068,0.9529,12.0,jackhhao_jailbreak-classification_distilbert-base-uncased-finetuned-sst-2-english
jackhhao_jailbreak-classification_emilyalsentzer-Bio,ClinicalBERT,0.9732824427,0.97326014,0.9734947855,0.9732824427,0.1151915267,1.9157,12.0,jackhhao_jailbreak-classification_emilyalsentzer-Bio_ClinicalBERT
liaad_newspop,bert-base-uncased,0.9968,0.9968002076,0.9968009728,0.9968,0.0165072419,35.8795,12.0,liaad_newspop_bert-base-uncased
liaad_newspop_emilyalsentzer-Bio,ClinicalBERT,0.9926,0.9926010083,0.9926234097,0.9926,0.0321870632,36.5594,12.0,liaad_newspop_emilyalsentzer-Bio_ClinicalBERT
mteb_banking77,bert-base-uncased,0.9044213264,0.9038858179,0.911274312,0.9044213264,0.3966678679,22.0431,14.0,mteb_banking77_bert-base-uncased
mteb_banking77_emilyalsentzer-Bio,ClinicalBERT,0.8800390117,0.8797785903,0.8897933386,0.8800390117,0.4896920025,22.4718,14.0,mteb_banking77_emilyalsentzer-Bio_ClinicalBERT
odegiber_hate_speech18,deepset-roberta-base-squad2,0.900456621,0.877186517,0.873540799,0.900456621,0.3271475136,7.4408,11.0,odegiber_hate_speech18_deepset-roberta-base-squad2
odegiber_hate_speech18_emilyalsentzer-Bio,ClinicalBERT,0.8566210046,0.8560566667,0.8611637563,0.8566210046,0.3666701615,8.0016,11.0,odegiber_hate_speech18_emilyalsentzer-Bio_ClinicalBERT
perctrix_unfair_tos,distilroberta-base,0.9476678043,0.9442522959,0.9429458434,0.9476678043,0.2345408499,3.1407,12.0,perctrix_unfair_tos_distilroberta-base
perctrix_unfair_tos_emilyalsentzer-Bio,ClinicalBERT,0.9419795222,0.9358584852,0.9314798813,0.9419795222,0.2711634636,6.4137,12.0,perctrix_unfair_tos_emilyalsentzer-Bio_ClinicalBERT
raquiba_Sarcasm_News_Headline,cardiffnlp-twitter-roberta-base-sentiment-latest,0.92,0.9202246562,0.9221540647,0.92,0.2217727005,33.9808,11.0,raquiba_Sarcasm_News_Headline_cardiffnlp-twitter-roberta-base-sentiment-latest
raquiba_Sarcasm_News_Headline_emilyalsentzer-Bio,ClinicalBERT,0.8852,0.8847401133,0.8855449193,0.8852,0.2930253744,36.4625,11.0,raquiba_Sarcasm_News_Headline_emilyalsentzer-Bio_ClinicalBERT
river-martin_web-of-science-with-label-texts,bert-base-multilingual-uncased,0.8598,0.8583622876,0.8608261067,0.8598,0.519518435,35.8259,14.0,river-martin_web-of-science-with-label-texts_bert-base-multilingual-uncased
river-martin_web-of-science-with-label-texts_emilyalsentzer-Bio,ClinicalBERT,0.8506,0.8508807077,0.8526904125,0.8506,0.5450540781,36.7241,13.0,river-martin_web-of-science-with-label-texts_emilyalsentzer-Bio_ClinicalBERT
sh0416_ag_news,j-hartmann-emotion-english-distilroberta-base,0.9114,0.9111263443,0.9110248128,0.9114,0.3928206861,17.6928,13.0,sh0416_ag_news_j-hartmann-emotion-english-distilroberta-base
sh0416_ag_news_emilyalsentzer-Bio,ClinicalBERT,0.8704,0.8701792555,0.8710882502,0.8704,0.4112104475,36.5742,11.0,sh0416_ag_news_emilyalsentzer-Bio_ClinicalBERT
sonos-nlu-benchmark_snips_built_in_intents,j-hartmann-emotion-english-distilroberta-base,1.0,1.0,1.0,1.0,0.0037111589,0.1171,56.0,sonos-nlu-benchmark_snips_built_in_intents_j-hartmann-emotion-english-distilroberta-base
sonos-nlu-benchmark_snips_built_in_intents_emilyalsentzer-Bio,ClinicalBERT,0.9393939394,0.937012987,0.9570707071,0.9393939394,0.2207092494,0.2439,16.0,sonos-nlu-benchmark_snips_built_in_intents_emilyalsentzer-Bio_ClinicalBERT
stanfordnlp_imdb,cardiffnlp-twitter-roberta-base-sentiment-latest,0.9346,0.9345968371,0.9346655394,0.9346,0.1985507011,34.8266,13.0,stanfordnlp_imdb_cardiffnlp-twitter-roberta-base-sentiment-latest
stanfordnlp_imdb_emilyalsentzer-Bio,ClinicalBERT,0.8506,0.8490968533,0.8648659502,0.8506,0.3618083,36.636,12.0,stanfordnlp_imdb_emilyalsentzer-Bio_ClinicalBERT
takala_financial_phrasebank,roberta-base,0.9343707713,0.9342864613,0.9342303565,0.9343707713,0.3325940073,10.1624,18.0,takala_financial_phrasebank_roberta-base
takala_financial_phrasebank_emilyalsentzer-Bio,ClinicalBERT,0.9073071719,0.9075259534,0.9079536426,0.9073071719,0.2732616365,10.7658,11.0,takala_financial_phrasebank_emilyalsentzer-Bio_ClinicalBERT
tdavidson_hate_speech_offensive,GroNLP-hateBERT,0.9104477612,0.8901355271,0.8944381872,0.9104477612,0.2829964757,17.7028,12.0,tdavidson_hate_speech_offensive_GroNLP-hateBERT
tdavidson_hate_speech_offensive_emilyalsentzer-Bio,ClinicalBERT,0.8983461073,0.8757684187,0.8767098078,0.8983461073,0.3320812881,18.072,12.0,tdavidson_hate_speech_offensive_emilyalsentzer-Bio_ClinicalBERT
toxigen_toxigen-data@annotated,ProsusAI-finbert,0.5478723404,0.4372528333,0.4397632919,0.5478723404,1.0985070467,6.8497,11.0,toxigen_toxigen-data@annotated_ProsusAI-finbert
toxigen_toxigen-data@annotated_emilyalsentzer-Bio,ClinicalBERT,0.5191489362,0.3832056909,0.3106289212,0.5191489362,1.1454030275,6.856,11.0,toxigen_toxigen-data@annotated_emilyalsentzer-Bio_ClinicalBERT
tuetschek_atis,distilbert-base-uncased,0.9831081081,0.9841249377,0.9874338893,0.9831081081,0.1102396548,3.3189,12.0,tuetschek_atis_distilbert-base-uncased
tuetschek_atis_emilyalsentzer-Bio,ClinicalBERT,0.972972973,0.9715760833,0.9761802408,0.972972973,0.1896646619,6.4443,18.0,tuetschek_atis_emilyalsentzer-Bio_ClinicalBERT
ucirvine_sms_spam,deepset-roberta-base-squad2,0.9964157706,0.9964157706,0.9964157706,0.9964157706,0.0303591248,3.7865,13.0,ucirvine_sms_spam_deepset-roberta-base-squad2
ucirvine_sms_spam_emilyalsentzer-Bio,ClinicalBERT,0.9874551971,0.9872099228,0.9876358836,0.9874551971,0.0411474667,4.0512,12.0,ucirvine_sms_spam_emilyalsentzer-Bio_ClinicalBERT
zefang-liu_phishing-email-dataset,GroNLP-hateBERT,0.9710300429,0.9711454147,0.9717871322,0.9710300429,0.1338210404,13.3506,16.0,zefang-liu_phishing-email-dataset_GroNLP-hateBERT
zefang-liu_phishing-email-dataset_emilyalsentzer-Bio,ClinicalBERT,0.9570815451,0.9573974366,0.9597589112,0.9570815451,0.147772342,13.6011,16.0,zefang-liu_phishing-email-dataset_emilyalsentzer-Bio_ClinicalBERT
zeroshot_twitter-financial-news-sentiment,deepset-roberta-base-squad2,0.8672529313,0.8666825081,0.8766737235,0.8672529313,0.3999240398,16.2739,12.0,zeroshot_twitter-financial-news-sentiment_deepset-roberta-base-squad2
zeroshot_twitter-financial-news-sentiment_emilyalsentzer-Bio,ClinicalBERT,0.8412897822,0.8344312542,0.8404202083,0.8412897822,0.447029978,17.3515,11.0,zeroshot_twitter-financial-news-sentiment_emilyalsentzer-Bio_ClinicalBERT
